Amphi,Position,Latitude,Longitude,Accuracy_m,Altitude_m
3,1,36.6883243,2.8662055,9.2,177.1
3,1,36.6883267,2.8662251,9.3,178.2
3,1,36.6883313,2.8662276,9.0,177.1
3,1,36.6883335,2.8662264,9.1,177.4
3,1,36.6883347,2.8662238,9.4,181.2
3,1,36.6883349,2.8662199,8.4,181.2
3,1,36.6883394,2.8662101,8.0,181.2
3,1,36.6883395,2.8662103,7.8,181.2
3,1,36.6883397,2.8662079,7.6,181.2
3,1,36.6883397,2.8662082,7.7,177.1
3,1,36.6883371,2.8662189,7.2,177.1
3,1,36.6883394,2.8662379,7.2,177.1
3,1,36.688339,2.8662391,7.3,181.3
3,1,36.6883378,2.8662368,7.8,181.2
3,1,36.688337,2.8662315,8.5,177.1
3,1,36.6883363,2.8662304,9.3,177.1
3,1,36.6883337,2.8662428,9.9,181.3
3,1,36.6883287,2.8662371,21.6,181.3
3,1,36.6883298,2.8662367,36.6,181.3
3,1,36.6883217,2.8662227,12.4,181.3
3,1,36.6883183,2.8662198,9.4,176.5
3,1,36.6883095,2.8661927,14.7,176.5
3,1,36.6883067,2.866184,24.7,181.3
3,1,36.6883175,2.8662071,30.4,181.2
3,1,36.6883149,2.8662047,18.5,181.3
3,1,36.6883119,2.8662118,17.9,181.3
3,1,36.6883168,2.8662249,15.6,181.3
3,1,36.6883194,2.8662205,11.5,181.3
3,1,36.6883192,2.8662231,10.3,181.3
3,1,36.6883159,2.8662378,21.1,181.3
3,1,36.6883115,2.8662436,36.4,181.2
3,1,36.6883116,2.866242,24.8,181.2
3,1,36.6883117,2.8662426,13.2,181.2
3,1,36.6883143,2.8662355,10.6,181.3
3,1,36.6883153,2.8662419,9.1,181.2
3,1,36.6883157,2.8662403,8.2,181.3
3,1,36.6883151,2.8662458,72.9,181.3
3,3,36.6883283,2.8663883,35.0,177.4
3,2,36.6883262,2.8663921,14.0,177.1
3,2,36.6883255,2.866384,68.4,181.3
3,2,36.6883261,2.866382,292.3,181.3
3,2,36.6883179,2.8663178,77.6,181.3
3,2,36.6883687,2.8661933,40.5,181.3
3,2,36.6883409,2.8661871,16.7,181.3
3,2,36.6883342,2.8661982,45.6,181.3
3,2,36.6883286,2.8662037,60.0,181.3
3,2,36.6883163,2.8662145,56.1,181.3
3,2,36.6883232,2.8662177,31.0,181.2
3,2,36.6883237,2.8662198,31.1,181.2
3,2,36.6883196,2.8662246,52.4,181.3
3,2,36.6883085,2.8662106,29.1,181.3
3,2,36.688307,2.866206,29.1,181.2
3,2,36.6883167,2.8662233,13.0,181.3
3,2,36.6883173,2.8662243,13.2,181.3
3,2,36.6883178,2.8662251,13.4,176.5
3,2,36.6883117,2.866205,9.8,181.3
3,2,36.6883104,2.8662035,10.3,178.2
3,2,36.6883101,2.8662143,9.3,176.8
3,2,36.6883106,2.8662157,9.8,181.2
3,2,36.6883138,2.8662219,8.4,181.2
3,2,36.6883143,2.8662228,8.7,181.2
3,2,36.6883113,2.8662591,15.9,181.3
3,2,36.6883088,2.866294,38.4,177.1
3,2,36.6883075,2.866308,38.5,177.1
3,2,36.6883073,2.866308,38.6,177.3
3,2,36.6883179,2.8663556,25.7,177.1
3,2,36.6883211,2.8663669,25.7,178.2
3,2,36.6883211,2.8663404,14.3,181.2
3,2,36.6883187,2.8663174,9.9,177.1
3,2,36.6883199,2.8663249,14.3,177.1
3,2,36.6883278,2.8663356,35.1,177.1
3,2,36.688342,2.8664738,21.8,177.1
3,2,36.6883409,2.8665253,37.3,177.1
3,2,36.6883383,2.8664818,15.8,181.3
3,2,36.6883318,2.8663973,29.9,177.3
3,2,36.6883322,2.8663984,30.0,177.3
3,2,36.6883216,2.8663171,60.0,181.3
3,2,36.6883117,2.8662481,64.1,181.3
3,2,36.6883062,2.866208,288.1,181.3
3,2,36.6883078,2.866237,33.6,181.3
3,2,36.6883074,2.8662375,33.6,181.3
3,2,36.6883101,2.86622,22.5,176.5
3,2,36.6883066,2.8662094,39.3,176.5
3,2,36.6880358,2.8663757,100.0,176.5
3,2,36.6882714,2.8662493,24.3,178.0
3,2,36.6883169,2.8662245,41.2,176.5
3,3,36.6883317,2.8662157,41.3,177.1
3,3,36.6883286,2.8662174,41.5,177.1
3,3,36.6883313,2.8662159,41.6,177.1
3,3,36.6883424,2.8663102,77.6,177.1
3,3,36.6883144,2.8661653,27.7,176.5
3,3,36.6883116,2.8661538,27.5,177.1
3,3,36.6883111,2.8661543,27.6,181.3
3,3,36.6883101,2.8662183,22.9,181.2
3,3,36.6883125,2.8662415,39.2,177.1
